,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
3/1/1981,,6376.9,6428.1,,4069.7,4089.2,,2307.2,2338.9,,5340.5,5367.8,,3854.9,3872.4,,1485.5,1495.4,,1036.4,1060.3,,214.8,216.8,,821.7,843.4,,57.6,58,,74.6,75,,41,41.6,,388.8,413300,,200.6,204.1,,188.2,209.2,,320.6,333.4,,184.7,186.6,,136,146.8,,68.2,79.9,,16,17.5,,52.2,62.4,,5.7,6,,4.7,4.8,,7.5,8.2,,5.7,5.8,,4.6,4.6,,8.4,8.9,,6.2,7,,6.9,7.5,,6,6.9,,6765.7,6841.4,,4270.3,4293.3,,2495.4,2548.1,,61.1,61.7,,78.3,78.7,,44.4,45.3,4237.9,1159.7,3078.2,11079.3,5453.1,5626.2
4/1/1981,,6404.2,6426.3,,4071.7,4081.7,,2332.5,2344.6,,5379.4,5383.1,,3862.1,3866.2,,1517.3,1516.9,,1024.7,1043.2,,209.5,215.5,,815.2,827.7,,57.7,57.9,,74.6,74.8,,41.4,41.6,,376.7,379500,,194.9,188.7,,181.8,190.7,,311.1,309.3,,178.4,172.5,,132.7,136.7,,65.6,70.2,,16.6,16.2,,49,54,,5.6,5.6,,4.6,4.4,,7.2,7.5,,5.5,5.4,,4.4,4.3,,8,8.3,,6,6.3,,7.3,7,,5.7,6.1,,6780.9,6805.8,,4266.6,4270.5,,2514.3,2535.3,,61.1,61.3,,78.1,78.2,,44.6,45,4287.8,1189.4,3098.4,11093.6,5459.9,5633.7
5/1/1981,,6405.3,6412.4,,4073,4076.7,,2332.3,2335.7,,5363.7,5361.8,,3854.4,3854.3,,1509.3,1507.5,,1041.6,1050.6,,218.6,222.3,,823,828.2,,57.7,57.7,,74.5,74.6,,41.3,41.4,,379.2,379300,,197,194.1,,182.2,185.2,,313.2,310.6,,180.1,176.5,,133.1,134.1,,66,68.7,,16.9,17.6,,49,51.1,,5.6,5.6,,4.6,4.5,,7.2,7.3,,5.5,5.5,,4.5,4.4,,8.1,8.2,,6,6.1,,7.2,7.3,,5.6,5.8,,6784.6,6791.6,,4270,4270.7,,2514.5,2520.9,,61.1,61.1,,78.1,78.1,,44.6,44.7,4318.5,1197.1,3121.4,11110.2,5467.9,5642.3
6/1/1981,,6420.8,6413.9,,4076.1,4074.4,,2344.7,2339.6,,5380.7,5364.7,,3856.6,3851.9,,1524.1,1512.8,,1040.2,1049.2,,219.5,222.5,,820.7,826.7,,57.7,57.6,,74.4,74.4,,41.5,41.4,,364.7,353700,,190.3,182.5,,174.4,171.2,,303.7,292.5,,176.8,170.1,,126.9,122.4,,61,61.2,,13.5,12.4,,47.5,48.8,,5.4,5.2,,4.5,4.3,,6.9,6.8,,5.3,5.2,,4.4,4.2,,7.7,7.5,,5.5,5.5,,5.8,5.3,,5.5,5.6,,6785.5,6767.6,,4266.4,4256.9,,2519.1,2510.8,,61,60.8,,77.9,77.7,,44.6,44.4,4360.3,1219.2,3141.2,11128,5476,5651.9
7/1/1981,,6418.4,6425.3,,4079.7,4078.1,,2338.7,2347.2,,5383.3,5383.5,,3862.8,3865.3,,1520.5,1518.2,,1035.1,1041.8,,217,212.8,,818.2,829,,57.6,57.6,,74.4,74.3,,41.3,41.5,,397.2,378200,,205.3,197.3,,191.9,180.9,,332.9,317.6,,189.3,182.7,,143.6,135,,64.3,60.6,,16.1,14.6,,48.3,46,,5.8,5.6,,4.8,4.6,,7.6,7.2,,5.8,5.6,,4.7,4.5,,8.6,8.2,,5.8,5.5,,6.9,6.4,,5.6,5.3,,6815.6,6803.6,,4285.1,4275.4,,2530.6,2528.2,,61.1,61,,78.1,77.9,,44.7,44.7,4343.2,1210.1,3133.1,11146.7,5485.5,5661.2
8/1/1981,,6434.6,6393.7,,4084.6,4057.9,,2350,2335.8,,5393.5,5337.1,,3865.5,3835.6,,1528.1,1501.5,,1041.1,1056.6,,219.1,222.3,,822,834.3,,57.6,57.3,,74.3,73.8,,41.4,41.2,,399.6,380600,,207,200.5,,192.6,180.1,,336.7,323.7,,193.4,187.8,,143.3,135.9,,62.9,56.9,,13.6,12.7,,49.3,44.2,,5.8,5.6,,4.8,4.7,,7.6,7.2,,5.9,5.7,,4.8,4.7,,8.6,8.3,,5.7,5.1,,5.8,5.4,,5.7,5,,6834.2,6774.3,,4291.5,4258.4,,2542.6,2515.9,,61.2,60.7,,78.1,77.5,,44.8,44.4,4391.2,1236.6,3154.6,11165.5,5494.9,5670.5
9/1/1981,,6459.6,6502.7,,4083.6,4099.5,,2376,2403.2,,5411.4,5436.2,,3866.5,3879.8,,1544.9,1556.4,,1048.2,1066.5,,217.1,219.7,,831.1,846.7,,57.8,58.1,,74.2,74.5,,41.8,42.3,,398.7,394000,,213.4,210,,185.3,183.9,,339.5,330.2,,198.2,194.6,,141.3,135.6,,59.2,63.7,,15.2,15.4,,44,48.3,,5.8,5.7,,5,4.9,,7.2,7.1,,5.9,5.7,,4.9,4.8,,8.4,8,,5.3,5.6,,6.6,6.5,,5,5.4,,6858.3,6896.7,,4297,4309.5,,2561.3,2587.1,,61.3,61.7,,78.1,78.3,,45.1,45.5,4287.6,1194.9,3092.7,11184.2,5504.4,5679.8
10/1/1981,,6429.9,6445.3,,4060.8,4062.9,,2369.1,2382.4,,5390.5,5383,,3844.6,3841.8,,1545.8,1541.2,,1039.4,1062.4,,216.2,221.1,,823.2,841.3,,57.4,57.5,,73.6,73.7,,41.6,41.9,,401.2,374000,,214,200.8,,187.2,173.1,,335.2,306.7,,199,186.5,,136.2,120.2,,66,67.3,,15,14.4,,51.1,52.9,,5.9,5.5,,5,4.7,,7.3,6.8,,5.9,5.4,,4.9,4.6,,8.1,7.2,,6,6,,6.5,6.1,,5.8,5.9,,6831.1,6819.3,,4274.8,4263.8,,2556.3,2555.5,,61,60.9,,77.5,77.3,,44.9,44.9,4385.3,1250.5,3134.8,11204.6,5514.3,5690.3
11/1/1981,,6417,6433.3,,4061.8,4052.6,,2355.2,2380.7,,5386.7,5369.3,,3854.4,3840.3,,1532.3,1529,,1030.3,1064,,207.4,212.3,,822.9,851.8,,57.2,57.3,,73.5,73.4,,41.3,41.8,,409.3,375000,,218.4,201.5,,190.9,173.5,,340.9,313.2,,200.5,186.7,,140.4,126.5,,68.5,61.8,,17.9,14.9,,50.5,47,,6,5.5,,5.1,4.7,,7.5,6.8,,6,5.5,,4.9,4.6,,8.4,7.6,,6.2,5.5,,8,6.5,,5.8,5.2,,6826.3,6808.4,,4280.3,4254.1,,2546.1,2554.2,,60.8,60.7,,77.5,77,,44.7,44.8,4416.6,1270,3146.6,11224.9,5524.1,5700.8
12/1/1981,,6430.1,6506.9,,4067,4111,,2363.2,2395.9,,5414,5484.7,,3861.9,3905,,1552.1,1579.8,,1016.1,1022.1,,205,206,,811.1,816.1,,57.2,57.9,,73.5,74.3,,41.4,41.9,,412.5,437600,,217.3,233.8,,195.2,203.7,,341.9,362.1,,196.9,207.2,,145,154.9,,70.5,75.4,,20.4,26.6,,50.1,48.8,,6,6.3,,5.1,5.4,,7.6,7.8,,5.9,6.2,,4.9,5,,8.5,8.9,,6.5,6.9,,9,11.4,,5.8,5.6,,6842.6,6944.4,,4284.2,4344.8,,2558.4,2599.6,,60.8,61.8,,77.4,78.5,,44.8,45.5,4300.8,1189.1,3111.7,11245.3,5534,5711.3
1/1/1982,,6467.9,6355.5,,4096.2,4070.6,,2371.7,2284.9,,5433.9,5424.9,,3883.3,3872.4,,1550.6,1552.5,,1034,930.6,,212.9,198.2,,821.1,732.4,,57.4,56.4,,73.9,73.4,,41.5,39.9,,411.6,443900,,215.3,239.9,,196.3,204,,339.4,380.5,,198.8,222.2,,140.6,158.3,,72.2,63.4,,16.5,17.7,,55.8,45.7,,6,6.5,,5,5.6,,7.6,8.2,,5.9,6.6,,4.9,5.4,,8.3,9.3,,6.5,6.4,,7.2,8.2,,6.4,5.9,,6879.6,6799.4,,4311.5,4310.5,,2568.1,2488.9,,61.1,60.4,,77.8,77.7,,44.9,43.5,4466.7,1234.1,3232.6,11266,5544.6,5721.5
2/1/1982,,6450.5,6432.4,,4087.6,4093.1,,2362.9,2339.3,,5417.8,5435.6,,3876.2,3894.8,,1541.6,1540.8,,1032.7,996.8,,211.4,198.3,,821.3,798.4,,57.2,57,,73.6,73.7,,41.2,40.8,,434.4,488800,,229.9,252.9,,204.4,235.9,,363.8,410.1,,214.1,237.4,,149.7,172.7,,70.6,78.7,,15.9,15.5,,54.7,63.2,,6.3,7.1,,5.3,5.8,,8,9.2,,6.3,7,,5.2,5.7,,8.9,10.1,,6.4,7.3,,7,7.3,,6.2,7.3,,6884.9,6921.2,,4317.5,4346,,2567.3,2575.2,,61,61.3,,77.7,78.2,,44.8,44.9,4364.9,1209.1,3155.8,11286.1,5555.2,5731
3/1/1982,,6443.5,6497.4,,4082.3,4102.1,,2361.2,2395.2,,5403.7,5431.3,,3872.6,3890.1,,1531,1541.2,,1039.9,1066.1,,209.7,212,,830.2,854,,57,57.5,,73.3,73.7,,41.1,41.7,,435,463900,,233.6,239.1,,201.4,224.8,,362.1,377.7,,213.7,217.1,,148.4,160.6,,72.9,86.2,,19.9,22.1,,53,64.1,,6.3,6.7,,5.4,5.5,,7.9,8.6,,6.3,6.5,,5.2,5.3,,8.8,9.4,,6.5,7.5,,8.7,9.4,,6,7,,6878.5,6961.2,,4315.9,4341.3,,2562.6,2620,,60.8,61.6,,77.5,78,,44.6,45.6,4345.6,1224.5,3121.1,11306.8,5565.7,5741.1
4/1/1982,,6455.5,6431.6,,4086.6,4072.8,,2368.9,2358.8,,5402.9,5371.2,,3857.3,3835.9,,1545.6,1535.3,,1052.6,1060.3,,229.3,236.9,,823.3,823.5,,57,56.8,,73.3,73.1,,41.2,41,,436.6,440000,,235,228.1,,201.6,211.9,,368.3,366.4,,217.7,211,,150.6,155.3,,68.3,73.7,,17.3,17.1,,51,56.6,,6.3,6.4,,5.4,5.3,,7.8,8.2,,6.4,6.4,,5.3,5.2,,8.9,9.2,,6.1,6.5,,7,6.7,,5.8,6.4,,6892,6871.6,,4321.6,4300.9,,2570.5,2570.7,,60.9,60.7,,77.5,77.1,,44.7,44.7,4454.4,1274,3180.4,11326,5574.9,5751.1
5/1/1982,,6433,6440.9,,4074.1,4077.4,,2358.9,2363.5,,5386.1,5383,,3847,3846.1,,1539.2,1536.9,,1046.9,1057.9,,227.2,231.3,,819.7,826.7,,56.7,56.8,,73,73,,41,41,,454.1,453800,,244.3,240.9,,209.8,212.9,,379.1,375.7,,225.1,220.9,,154,154.8,,75,78.1,,19.3,20,,55.8,58.1,,6.6,6.6,,5.7,5.6,,8.2,8.3,,6.6,6.5,,5.5,5.4,,9.1,9.1,,6.7,6.9,,7.8,8,,6.4,6.6,,6887.1,6894.7,,4318.5,4318.3,,2568.6,2576.4,,60.7,60.8,,77.3,77.3,,44.6,44.7,4449.8,1265.8,3184,11344.5,5584.1,5760.4
6/1/1982,,6420.8,6414.3,,4067,4064.9,,2353.8,2349.3,,5374.2,5357.1,,3836,3831,,1538.2,1526.1,,1046.7,1057.1,,231,233.9,,815.6,823.2,,56.5,56.4,,72.7,72.7,,40.8,40.7,,466.1,451600,,251.2,240.6,,214.8,211,,383.2,369.7,,225.4,216.8,,157.8,152.9,,82.8,82,,25.8,23.9,,57,58.1,,6.8,6.6,,5.8,5.6,,8.4,8.2,,6.7,6.5,,5.5,5.4,,9.3,9.1,,7.3,7.2,,10.1,9.3,,6.5,6.6,,6886.9,6865.9,,4318.2,4305.6,,2568.7,2560.3,,60.6,60.4,,77.2,77,,44.5,44.4,4497,1287.7,3209.4,11362.9,5593.2,5769.7
7/1/1982,,6419.9,6425.9,,4065.4,4063.9,,2354.5,2362,,5359,5361.1,,3834.6,3837.8,,1524.4,1523.2,,1060.8,1064.8,,230.8,226.1,,830,838.7,,56.4,56.5,,72.6,72.5,,40.7,40.9,,474.6,453400,,264,254.1,,210.6,199.3,,395.2,378.6,,241.5,233.7,,153.7,144.9,,79.4,74.8,,22.5,20.4,,56.9,54.5,,6.9,6.6,,6.1,5.9,,8.2,7.8,,6.9,6.6,,5.9,5.7,,9.2,8.7,,7,6.6,,8.9,8.3,,6.4,6.1,,6894.5,6879.3,,4329.4,4318,,2565.1,2561.3,,60.6,60.4,,77.3,77.1,,44.4,44.3,4501.2,1283.9,3217.3,11380.5,5601.9,5778.6
8/1/1982,,6416.6,6379.3,,4051,4024.3,,2365.6,2355,,5340.7,5285.9,,3811.8,3782.5,,1528.9,1503.4,,1075.9,1093.4,,239.2,241.9,,836.7,851.6,,56.3,56,,72.2,71.7,,40.9,40.7,,483.9,461400,,280.4,271.7,,203.5,189.7,,402.4,387.6,,257.5,250.4,,144.9,137.2,,81.5,73.8,,22.9,21.3,,58.5,52.5,,7,6.7,,6.5,6.3,,7.9,7.5,,7,6.8,,6.3,6.2,,8.7,8.4,,7,6.3,,8.7,8.1,,6.5,5.8,,6900.5,6840.7,,4331.4,4296,,2569.1,2544.7,,60.5,60,,77.2,76.6,,44.4,44,4557.4,1314.6,3242.8,11398.1,5610.6,5787.5
9/1/1982,,6401,6443.5,,4048.8,4065.7,,2352.1,2377.9,,5333.4,5357.5,,3814.9,3828.5,,1518.5,1529,,1067.6,1086,,234,237.2,,833.6,848.8,,56.1,56.4,,72,72.3,,40.6,41,,513.8,509100,,298.5,294.3,,215.3,214.7,,433.8,423.1,,276.7,272.2,,157.1,150.9,,80,86,,21.9,22.2,,58.2,63.8,,7.4,7.3,,6.9,6.8,,8.4,8.3,,7.5,7.3,,6.8,6.6,,9.4,9,,7,7.3,,8.5,8.5,,6.5,7,,6914.8,6952.6,,4347.4,4360,,2567.4,2592.6,,60.6,60.9,,77.4,77.6,,44.3,44.7,4463.3,1259.6,3203.7,11415.9,5619.6,5796.3
10/1/1982,,6402.9,6421.1,,4044.4,4049.4,,2358.5,2371.6,,5301.8,5296.9,,3794.7,3794.3,,1507.2,1502.6,,1101.1,1124.2,,249.7,255.2,,851.3,869,,56,56.2,,71.9,72,,40.6,40.9,,579.2,540600,,328.7,308.2,,250.6,232.4,,487.5,448,,307,287.6,,180.5,160.4,,91.7,92.7,,21.7,20.6,,70.1,72,,8.3,7.8,,7.5,7.1,,9.6,8.9,,8.4,7.8,,7.5,7,,10.7,9.6,,7.7,7.6,,8,7.5,,7.6,7.7,,6982.1,6961.7,,4373.1,4357.7,,2609,2604,,61.1,60.9,,77.7,77.5,,45,44.9,4468.7,1268.7,3200,11430.4,5626.4,5804
11/1/1982,,6345.8,6366.8,,4007.5,4002.6,,2338.2,2364.3,,5268.3,5255.1,,3763,3752.2,,1505.4,1502.9,,1077.4,1111.8,,244.5,250.4,,832.9,861.4,,55.4,55.6,,71.2,71.1,,40.2,40.7,,603.2,555200,,352.8,327.7,,250.4,227.5,,527.3,486.4,,336.6,314.3,,190.7,172.2,,75.8,68.7,,16.2,13.4,,59.7,55.3,,8.7,8,,8.1,7.6,,9.7,8.8,,9.1,8.5,,8.2,7.7,,11.2,10.3,,6.6,5.8,,6.2,5.1,,6.7,6,,6948.9,6922,,4360.4,4330.3,,2588.6,2591.7,,60.7,60.5,,77.4,76.9,,44.5,44.6,4522.1,1302.2,3220,11444.1,5632.5,5811.7
12/1/1982,,6295.7,6370.1,,3962.3,4003.7,,2333.3,2366.4,,5198.2,5265.2,,3721.7,3762.2,,1476.6,1503,,1097.4,1104.9,,240.7,241.5,,856.8,863.4,,54.9,55.6,,70.3,71,,40.1,40.7,,653.4,677500,,390.1,405.1,,263.3,272.4,,568.1,588.1,,369.5,378.7,,198.6,209.3,,85.3,89.4,,20.6,26.4,,64.7,63,,9.4,9.6,,9,9.2,,10.1,10.3,,9.9,10,,9,9.1,,11.9,12.2,,7.2,7.5,,7.9,9.8,,7,6.8,,6949.1,7047.6,,4352.5,4408.8,,2596.6,2638.7,,60.6,61.5,,77.2,78.2,,44.6,45.3,4411.5,1230.7,3180.7,11459.1,5639.6,5819.5
1/1/1983,,6294.8,6172,,3956.5,3924.4,,2338.3,2247.7,,5199,5182.1,,3715.6,3700.1,,1483.4,1482,,1095.9,989.9,,240.9,224.2,,855,765.7,,54.8,53.8,,70,69.5,,40.1,38.6,,645.5,694600,,393.8,431.7,,251.7,262.9,,571.2,628.2,,373.5,409.6,,197.7,218.6,,74.4,66.4,,20.4,22.1,,54,44.3,,9.3,10.1,,9.1,9.9,,9.7,10.5,,9.9,10.8,,9.1,10,,11.8,12.9,,6.4,6.3,,7.8,9,,5.9,5.5,,6940.3,6866.6,,4350.3,4356,,2590,2510.6,,60.5,59.8,,77,77.1,,44.4,43.1,4612.3,1293.5,3318.8,11478.9,5649.5,5829.4
2/1/1983,,6289.5,6263.9,,3951.9,3951.8,,2337.6,2312.1,,5184.6,5198.8,,3707.3,3722.6,,1477.3,1476.2,,1104.9,1065.2,,244.7,229.3,,860.3,835.9,,54.7,54.5,,69.8,69.8,,40,39.6,,672.5,750100,,403.8,441.4,,268.6,308.7,,586.1,655,,380.3,418.3,,205.8,236.7,,86.4,95.1,,23.5,23.1,,62.8,72,,9.7,10.7,,9.3,10,,10.3,11.8,,10.2,11.2,,9.3,10.1,,12.2,13.8,,7.2,8.2,,8.8,9.2,,6.8,7.9,,6962,7014,,4355.8,4393.2,,2606.2,2620.8,,60.5,61,,77,77.6,,44.6,44.9,4484,1265.6,3218.4,11498.1,5658.8,5839.3
3/1/1983,,6256.1,6310.3,,3925.7,3944.6,,2330.4,2365.7,,5160.9,5186.3,,3677.6,3692.9,,1483.2,1493.4,,1095.3,1124,,248.1,251.6,,847.2,872.3,,54.3,54.8,,69.3,69.6,,39.8,40.4,,691.4,733900,,423.1,434.6,,268.3,299.3,,611.5,637.9,,402.6,411.7,,208.9,226.2,,79.9,96,,20.5,22.9,,59.4,73.1,,10,10.4,,9.7,9.9,,10.3,11.2,,10.6,11,,9.9,10,,12.3,13.2,,6.8,7.9,,7.6,8.4,,6.6,7.7,,6947.5,7044.2,,4348.8,4379.2,,2598.7,2665,,60.3,61.2,,76.7,77.3,,44.4,45.6,4473.6,1289.4,3184.2,11517.8,5668.6,5849.2
4/1/1983,,6233,6254.5,,3918.1,3928,,2314.9,2326.5,,5167.3,5166.4,,3676,3677,,1491.3,1489.4,,1065.7,1088.1,,242.1,251,,823.6,837.1,,54,54.2,,69,69.2,,39.5,39.7,,704.3,709300,,438.9,429.6,,265.4,279.7,,614.4,611.7,,415.4,406.2,,199,205.5,,89.9,97.5,,23.5,23.4,,66.4,74.2,,10.2,10.2,,10.1,9.9,,10.3,10.7,,10.6,10.6,,10.2,9.9,,11.8,12.1,,7.8,8.2,,8.8,8.5,,7.5,8.1,,6937.4,6963.7,,4357.1,4357.6,,2580.3,2606.2,,60.1,60.4,,76.7,76.8,,44,44.5,4572.3,1319.9,3252.4,11536,5677.5,5858.5
5/1/1983,,6264,6272.8,,3924.9,3927.3,,2339.1,2345.5,,5188.1,5183.4,,3683.7,3681.6,,1504.4,1501.8,,1075.9,1089.4,,241.2,245.7,,834.7,843.7,,54.2,54.3,,69,69.1,,39.9,40,,721.1,720500,,440.1,435.3,,281,285.2,,631.9,627.5,,418.4,412.8,,213.5,214.7,,89.2,93,,21.7,22.5,,67.5,70.5,,10.3,10.3,,10.1,10,,10.7,10.8,,10.9,10.8,,10.2,10.1,,12.4,12.5,,7.7,7.9,,8.2,8.4,,7.5,7.7,,6985.1,6993.3,,4365,4362.7,,2620.1,2630.7,,60.5,60.5,,76.8,76.7,,44.7,44.8,4561.1,1324,3237.1,11554.4,5686.7,5867.8
6/1/1983,,6271.2,6266.5,,3926.5,3924.4,,2344.7,2342.1,,5191.1,5173.3,,3689.1,3684.2,,1502,1489.1,,1080.1,1093.1,,237.4,240.2,,842.8,853,,54.2,54.1,,68.9,68.9,,39.9,39.9,,712.6,693200,,439.2,424.5,,273.4,268.7,,632.5,613.8,,421.3,407.9,,211.2,205.9,,80.1,79.4,,17.8,16.5,,62.2,62.9,,10.2,10,,10.1,9.8,,10.4,10.3,,10.9,10.6,,10.3,10,,12.3,12.1,,6.9,6.8,,7,6.4,,6.9,6.9,,6983.8,6959.7,,4365.7,4348.9,,2618.1,2610.8,,60.3,60.1,,76.7,76.4,,44.5,44.4,4612.9,1346.7,3266.3,11572.6,5695.6,5877.1
7/1/1983,,6277,6295,,3921.5,3933.1,,2355.6,2361.8,,5202.9,5214.6,,3685.2,3697.6,,1517.7,1516.9,,1074.1,1080.4,,236.3,235.5,,837.8,844.9,,54.2,54.3,,68.7,69,,40,40.1,,737,687200,,456.4,429,,280.7,258.3,,642.1,599.3,,430.3,407,,211.8,192.3,,94.9,87.9,,26.1,22,,68.8,65.9,,10.5,9.8,,10.4,9.8,,10.6,9.9,,11,10.3,,10.5,9.9,,12.2,11.3,,8.1,7.5,,9.9,8.5,,7.6,7.2,,7014,6982.2,,4377.8,4362.1,,2636.2,2620.1,,60.5,60.2,,76.8,76.5,,44.8,44.5,4607.2,1341.8,3265.3,11589.4,5704,5885.4
8/1/1983,,6283.2,6241.2,,3929.4,3903.6,,2353.8,2337.6,,5202.2,5150.4,,3691.1,3663.4,,1511.2,1487,,1080.9,1090.8,,238.3,240.2,,842.6,850.6,,54.1,53.8,,68.8,68.3,,39.9,39.7,,715.2,686800,,440.4,429.7,,274.8,257.1,,627.3,607.4,,418.6,409.5,,208.6,197.8,,88,79.5,,21.8,20.2,,66.2,59.3,,10.2,9.9,,10.1,9.9,,10.5,9.9,,10.8,10.5,,10.2,10.1,,12.1,11.7,,7.5,6.8,,8.4,7.8,,7.3,6.5,,6998.4,6928,,4369.8,4333.3,,2628.6,2594.7,,60.3,59.7,,76.5,75.9,,44.6,44,4678.2,1379.2,3299,11606.2,5712.5,5893.7
9/1/1983,,6316.8,6358.2,,3954.5,3971.6,,2362.4,2386.6,,5262.2,5285.9,,3726.3,3740,,1535.8,1545.9,,1054.7,1072.3,,228.1,231.6,,826.5,840.7,,54.3,54.7,,69.1,69.4,,40,40.4,,728.4,720800,,440.1,435,,288.3,285.9,,633.6,619,,415.7,410.3,,217.9,208.7,,94.8,101.9,,24.4,24.7,,70.4,77.2,,10.3,10.2,,10,9.9,,10.9,10.7,,10.7,10.5,,10,9.9,,12.4,11.9,,8.2,8.7,,9.7,9.6,,7.8,8.4,,7045.2,7079,,4394.6,4406.6,,2650.7,2672.5,,60.6,60.9,,76.8,77,,44.9,45.3,4544.2,1314.6,3229.5,11623.2,5721.2,5902
10/1/1983,,6317.3,6336.1,,3950.9,3958.5,,2366.3,2377.7,,5242.4,5240.5,,3711.5,3714.2,,1530.9,1526.4,,1074.9,1095.6,,239.5,244.3,,835.4,851.3,,54.3,54.4,,69,69.1,,40,40.2,,702.6,653200,,428.9,400.8,,273.7,252.4,,617.2,567.6,,411.6,384.5,,205.5,183,,85.4,85.6,,17.3,16.3,,68.2,69.3,,10,9.3,,9.8,9.2,,10.4,9.6,,10.5,9.8,,10,9.4,,11.8,10.7,,7.4,7.2,,6.7,6.2,,7.5,7.5,,7019.9,6989.3,,4379.8,4359.3,,2640,2630,,60.3,60.1,,76.5,76.1,,44.7,44.5,4649,1369.6,3279.4,11638.3,5728.9,5909.4
